
id_bubble_curso; ativo; breve_descricao; video_id; carga_horaria; descricao; gerar_certificado; gratis; imagem; ordenacao; nome;  firebase_url
1646059672654x381831255547707400;sim;Aprenda a trabalhar na na área de Perícia Contábil.;;8;Esse é um curso destinado a quem deseja ser um perito ou está iniciando os trabalhos na área de Perícia Contábil onde você irá conhecer os fundamentos da perícia contábil.;sim;;;8;PERÍCIA CONTÁBIL;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fpericia(115)?alt=media&token=3192e6db-4341-49dc-89c6-e3c1fbd186be;;sim
1646060584309x343832991073828860;sim;Calcule a verba vantagens pessoais e os seus reflexos no Pje-Calc.;;;Nesse curso você irá aprender passo a passo como calcular a verba vantagens pessoais e os seus reflexos no Pje-Calc.;não;;;;Cálculo VPI da CEF;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fliq%20senten%C3%A7a%20(3)(330)?alt=media&token=38a818e7-01bd-4754-b1be-b3d57d33277a;;sim
1646061070405x561550319529754600;sim;Curso de Liquidação de Sentença com Pje-Calc.;;;Esse é um curso de Liquidação de Sentença com Pje-Calc ideal para quem está começando ou para quem deseja entender melhor sobre o assunto.;não;;;20;Liquidação de Sentença;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fliq%20senten%C3%A7a(36)?alt=media&token=4d574694-3176-4c52-915c-32250b63b070;;sim
1646330317122x702728900006117400;sim;Funcionalidades do novo CCT 4.0;;30;Funcionalidades do novo CCT 4.0;não;não;;1;Novo CCT 4.0;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fcct(610)?alt=media&token=36191b08-8498-4b0c-9ada-2efa28636137;;sim
1646493918439x977488244015890400;sim;de cálculos trabalhistas no Pje-Calc;;20;Curso completo de cálculos trabalhistas com utilização do sistema Pje-Calc com estudo das principais verbas que compõe a sentença trabalhista;sim;;;10;Verba por verba;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fverba%20por%20verba(947)?alt=media&token=12d2297f-2acd-4924-ba7f-3cd82d22c119;;sim
1671626847495x576613896399880200;sim;PJECALCPLUS 2023;;60;Curso completo de cálculos trabalhistas. Totalmente atualizado;sim;;//0dc030f300b4c9312aee4f61a4bdbc55.cdn.bubble.io/f1683671904927x462297678674249400/pjecalc%20%285%29.png;2;PJECALCPLUS 2.0 - 2023;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fpjecalc%202023(501)?alt=media&token=3b63f894-9c03-4c0e-affe-be0558298153;;sim
1677623448188x246088550814318600;sim;Curso ministrado para os servidores do TRT16 em 2023;;;;;;//s3.amazonaws.com/appforest_uf/f1677634950583x232073937303414620/Pje%20Calc%20%281%29.png;4;Pje-Calc 2023 - TRT16;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fliq%20senten%C3%A7a%20(5)(710)?alt=media&token=4a747f4a-7228-4fb9-9c49-769b06d378dd;;sim
1681860057401x668236663298457600;sim;Treinamento Completo de Cálculos Trabalhistas usando Pje-Calc;;60;O ATO CSJT.GP.SG Nº 146/2020, que alterou a Resolução CSJT nº 185, de março de 2017, tornou obrigatório o uso do PJe-Calc nos cálculos apresentados por usuários internos e peritos.  Se você quer se tornar Expert em Cálculos Trabalhistas usando a Ferramenta Oficial da Justiça do Trabalho este Treinamento é pra você!   Com uso de técnicas avançadas de cálculos trabalhistas você irá otimizar o seu trabalho no sistema PJe Calc.  Mesmo que você nunca tenha acessado o sistema, terá todas as condições de Aprender, passo-a-passo, no seu ritmo, e Desenvolver Cálculos Trabalhistas Otimizados.  Ministrado integralmente pelo professor Vicelmo Alencar.  Graduado em Letras e Direito e especialista em Processo do Trabalho, desenvolvendo cálculos trabalhistas desde o ano de 2005, professor da disciplina de cálculos trabalhistas em cursos de especialização além de lecionar nas Escolas Judiciais do TRT da 19ª e 21ª Região.  ;sim;;//0dc030f300b4c9312aee4f61a4bdbc55.cdn.bubble.io/f1683671438542x994022721175717900/pjecalc%20%284%29.png;;PjeCalc Plus;https://0dc030f300b4c9312aee4f61a4bdbc55.cdn.bubble.io/f1683671438542x994022721175717900/pjecalc%20%284%29.png;;
1690234441081x380687077666979840;sim;Os melhores vídeos do Youtube separados por tema;;;;;não;;4;O melhor do Youtube;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fyoutube(892)?alt=media&token=eb9ecf48-78af-4ce4-91b8-dfbc4b9b394d;;sim
1696795301131x751103056504422400;sim;Curso para quem não sabe nada de cálculos trabalhistas;;9;;;;;3;Pjecalc do zero - 2023;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fdo%20zero%202023(644)?alt=media&token=d3d2814f-bf63-4803-b99b-4305c9b2ca47;;sim
1698704463729x426634774681485300;não;;;;;;;;;teste;https://firebasestorage.googleapis.com/v0/b/cct-bubble.appspot.com/o/cct2022%2Fcurso(174)?alt=media&token=b57f6350-cd02-4525-911b-3648ff239539;;
1706737583107x484958099308544000;sim;Curso completo de Pje-Calc para iniciantes. Totalmente atualizado;;20;Curso com mais de 50 aulas. Totalmente gravado em 2024. Voltado para iniciantes;sim;;//0dc030f300b4c9312aee4f61a4bdbc55.cdn.bubble.io/f1706743040115x598960126506799600/pjecalc%202022.png;0;Curso Pje-Calc Iniciantes - 2024;https://0dc030f300b4c9312aee4f61a4bdbc55.cdn.bubble.io/f1706743186051x976788383002685000/pjecalc%202022.png?_gl=1*ok3x2i*_gcl_aw*R0NMLjE2OTkyMDc5MTcuQ2owS0NRanctcHlxQmhEbUFSSXNBS2Q5WElQSWRwUkx6T0V3cDVBcXI4QjhiZWZVRjhJVHc5WkJGaFJZaVN5d2x3Nkkwak0wN05heVIzNGFBdEw1RUFMd193Y0I.*_gcl_au*MTU2MTcwNzI4NC4xNzA0OTg5MDkz*_ga*MTUxNDM5MjI3Ni4xNjk2NTQ1NTY1*_ga_BFPVR2DEE2*MTcwNjc0Mjg4MS44MC4xLjE3MDY3NDMxNTYuNS4wLjA.;;sim
1716026299355x651817971943211000;sim;Curso completo Gravado em maio de 2024;;;Curso completo gravado durante evento realizado no TRT 10 - Brasília;;;;-1;Curso completo 2024 - TRT10;https://0dc030f300b4c9312aee4f61a4bdbc55.cdn.bubble.io/f1716028332293x666509721026410600/pjecalc%202022%20%281%29.png?_gl=1*yqrtcz*_gcl_au*MTM4NzA4MjA2OC4xNzEyNzczMzEz*_ga*MTUxNDM5MjI3Ni4xNjk2NTQ1NTY1*_ga_BFPVR2DEE2*MTcxNjAyODA0Mi4xMzYuMS4xNzE2MDI4MzA2LjYwLjAuMA..;;sim
1728771676801x297746528119554050;sim;Como usar a inteligência artificial para aprimorar os cálculos trabalhistas.;;4;Este curso foi desenvolvido para despertar o interesse da comunidade trabalhista sobre como a inteligência artificial pode ser aplicada aos cálculos trabalhistas. Vamos explorar o básico da IA e como ela pode facilitar tarefas do dia a dia, como a análise de planilhas e de processos judiciais.;;;//0dc030f300b4c9312aee4f61a4bdbc55.cdn.bubble.io/f1728771930990x692380630463307400/investiga%C3%A7%C3%A3o%20%281%29.png;;Inteligência Artificial em Cálculos Trabalhistas;https://0dc030f300b4c9312aee4f61a4bdbc55.cdn.bubble.io/f1728771930990x692380630463307400/investiga%C3%A7%C3%A3o%20%281%29.png?_gl=1*l550my*_gcl_au*MTMyMjEwODI4Mi4xNzI4MzQwMTk5*_ga*MTUxNDM5MjI3Ni4xNjk2NTQ1NTY1*_ga_BFPVR2DEE2*MTcyODc3MTY5OS4yMDUuMS4xNzI4NzcxODc3LjQ4LjAuMA..;;sim
1739311927377x798954360919818200;sim;Pjecalc Plus 2025 - Liquidação de sentença;;30;Curso completo de liquidação de sentença gravado em 2025;sim;não;;;Pjecalc Plus 2025 - Liquidação de sentença;https://0dc030f300b4c9312aee4f61a4bdbc55.cdn.bubble.io/f1739312084097x690596205509040300/pjecalc%202022.png?_gl=1*1n2lf38*_gcl_au*MTg2ODM0ODUxMS4xNzM1NTgyMjkx*_ga*MTUxNDM5MjI3Ni4xNjk2NTQ1NTY1*_ga_BFPVR2DEE2*MTczOTMxMTk1OC4yMzIuMS4xNzM5MzEyMDUzLjM0LjAuMA..;;sim
1755781130085x143569332430700540;não;;;;;;;;;;;;
1755781185158x227345294215086080;não;;;;;;;;;;;;
1755781333885x435699576047403000;não;;;;;;;;;;;;
1755787891889x993131177079996400;não;;;;;;;;;;;;
1755787947800x611208701783048200;não;;;;;;;;;;;;
1755787988773x523765238716170200;sim;;;;;;;;;;;;
1755822627407x757761897039396900;não;;;;;;;;;;;;
1755822681622x265527419727511550;não;;;;;;;;;;;;
1755822763430x128307321895649280;sim;;;;;;;;;;;;
